100/16,64,7/27/2020
10015/20,600,1/19/2020
100811/20,60,7/16/2020
10518/20,817,1/27/2020
105434/20,683,7/16/2020
106/20,339,2/3/2020
108/20,58,1/17/2020
110/20,58,1/17/2020
112/20,717,1/17/2020
113/20,77,1/17/2020
114/20,53,1/17/2020
115/20,84,1/17/2020
1248/20,"1,222",10/12/2020
1249/20,84,10/12/2020
1253/20,83,10/12/2020
1254/20,72,10/12/2020
127/20,113,2/7/2020
127/20,117,2/14/2020
129/20,984,2/3/2020
1297/20,76,1/10/2020
130/20,411,2/3/2020
1314/20,"1,017",10/26/2020
133/20,74,2/14/2020
15/20,750,1/10/2020
152/20,385,2/10/2020
153027/20,926,10/22/2020
154/20,96,10/20/2020
15770/20,502,10/8/2020
158/20,509,2/10/2020
160092/20,280,10/12/2020
160121/20,693,10/12/2020
163739/20,530,10/20/2020
164/20,166,2/10/2020
168/20,105,2/11/2020
168/20,109,2/14/2020
17/20,155,2/3/2020
18/20,725,2/3/2020
180/20,117,4/2/2020
19444/20,605,2/1/2020
195/20,73,2/2/2020
201/20,42,1/31/2020
203/20,78,1/31/2020
204/20,52,1/31/2020
205/20,125,4/2/2020
211/20,89,2/3/2020
221/20,99,10/20/2020
232/20,101,10/20/2020
232/20,105,10/27/2020
242/20,56,2/7/2020
242/20,100,6/15/2020
242/20,108,10/27/2020
243/20,134,2/7/2020
243/20,132,2/7/2020
244/20,68,2/7/2020
245/20,283,2/10/2020
246/20,163,2/10/2020
247/20,94,2/10/2020
250/20,124,2/10/2020
251/20,114,2/10/2020
264/20,552,2/11/2020
346/20,112,10/6/2020
346/20,112,10/6/2020
357/20,"1,049",10/13/2020
373/20,134,2/27/2020
385/20,630,2/7/2020
39/20,35,1/7/2020
393/20,105,10/6/2020
393/20,105,10/6/2020
393/20,97,10/20/2020
4083/20,647,1/7/2020
421/20,108,6/15/2020
431/20,614,6/15/2020
432/20,491,6/15/2020
49/20,85,10/20/2020
492/20,670,10/26/2020
52/20,117,1/31/2020
52/20,108,2/7/2020
52/20,95,2/14/2020
52/20,119,4/1/2020
53/20,108,1/31/2020
53/20,124,2/7/2020
53/20,100,2/14/2020
53/20,94,4/16/2020
54/20,399,2/12/2020
553/20,619,6/15/2020
60/20,141,7/27/2020
6200/20,542,1/10/2020
635/20,107,10/27/2020
638/20,108,10/27/2020
641/20,84,10/27/2020
65/20,561,1/31/2020
684/20,174,10/12/2020
747/20,61,10/6/2020
747/20,61,10/6/2020
75/20,"1,687",7/20/2020
808/20,819,7/16/2020
8184/20,856,1/19/2020
8184/20,855,1/20/2020
837/20,308,10/22/2020
872/20,79,10/27/2020
890/20,457,10/12/2020
901/20,75,10/22/2020
948/20,711,10/26/2020
95/20,93,1/14/2020
954/20,82,10/27/2020
630/21,59,1/3/2021
887/21,130,1/3/2021
